Istituzione Scolastica;Ordine Scolastico;Scuola/Indirizzo;Scuola/Indirizzo - Codice PAT;Numero Iscritti;Numero Classi
ISTITUTO COMPRENSIVO VILLA LAGARINA;SECONDARIA DI PRIMO GRADO;"SCUOLA SECONDARIA DI PRIMO GRADO ""A. FRANK"" VILLA LAGARINA";0222223001;266;12
"ISTITUTO DI ISTRUZIONE ""A. Degasperi"" - BORGO VALSUGANA";SECONDARIA DI PRIMO GRADO;EDUCAZIONE PER ADULTI RELATIVA AL PRIMO CICLO;0220227902;10;1
"ISTITUTO DI ISTRUZIONE ""A. Degasperi"" - BORGO VALSUGANA";SECONDARIA DI SECONDO GRADO;ISTITUTO PROFESSIONALE PER I SERVIZI SANITARI SERALE;0220225511;95;7
"ISTITUTO DI ISTRUZIONE ""A. Degasperi"" - BORGO VALSUGANA";SECONDARIA DI SECONDO GRADO;ISTITUTO TECNICO PER IL SETTORE ECONOMICO;0220225402;202;12
"ISTITUTO DI ISTRUZIONE ""A. Degasperi"" - BORGO VALSUGANA";SECONDARIA DI SECONDO GRADO;ISTITUTO TECNICO PER IL SETTORE ECONOMICO SERALE;0220225509;77;4
"ISTITUTO DI ISTRUZIONE ""A. Degasperi"" - BORGO VALSUGANA";SECONDARIA DI SECONDO GRADO;ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO;0220225503;55;5
"ISTITUTO DI ISTRUZIONE ""A. Degasperi"" - BORGO VALSUGANA";SECONDARIA DI SECONDO GRADO;ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO SERALE;0220225510;28;4
"ISTITUTO DI ISTRUZIONE ""A. Degasperi"" - BORGO VALSUGANA";SECONDARIA DI SECONDO GRADO;LICEO DELLE SCIENZE UMANE;0220227105;152;9
"ISTITUTO DI ISTRUZIONE ""A. Degasperi"" - BORGO VALSUGANA";SECONDARIA DI SECONDO GRADO;LICEO SCIENTIFICO;0220227103;115;8
"ISTITUTO DI ISTRUZIONE ""A. Degasperi"" - BORGO VALSUGANA";SECONDARIA DI SECONDO GRADO;LICEO SCIENTIFICO OPZIONE SCIENZE APPLICATE;0220227104;170;10
"ISTITUTO DI ISTRUZIONE ""L. Guetti"" - TIONE DI TRENTO";SECONDARIA DI PRIMO GRADO;EDUCAZIONE PER ADULTI RELATIVA AL PRIMO CICLO;0221999902;61;6
"ISTITUTO DI ISTRUZIONE ""L. Guetti"" - TIONE DI TRENTO";SECONDARIA DI SECONDO GRADO;ISTITUTO TECNICO PER IL SETTORE ECONOMICO;0221995403;200;11
"ISTITUTO DI ISTRUZIONE ""L. Guetti"" - TIONE DI TRENTO";SECONDARIA DI SECONDO GRADO;ISTITUTO TECNICO PER IL SETTORE ECONOMICO SERALE;0221996204;10;3
"ISTITUTO DI ISTRUZIONE ""L. Guetti"" - TIONE DI TRENTO";SECONDARIA DI SECONDO GRADO;ISTITUTO TECNICO PER IL SETTORE ECONOMICO SERALE;0221996204;10;3
"ISTITUTO DI ISTRUZIONE ""L. Guetti"" - TIONE DI TRENTO";SECONDARIA DI SECONDO GRADO;ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO;0221995206;120;8
"ISTITUTO DI ISTRUZIONE ""L. Guetti"" - TIONE DI TRENTO";SECONDARIA DI SECONDO GRADO;ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO SERALE;0221996203;15;3
"ISTITUTO DI ISTRUZIONE ""L. Guetti"" - TIONE DI TRENTO";SECONDARIA DI SECONDO GRADO;LICEO DELLE SCIENZE UMANE;0221997106;155;9
"ISTITUTO DI ISTRUZIONE ""L. Guetti"" - TIONE DI TRENTO";SECONDARIA DI SECONDO GRADO;LICEO LINGUISTICO;0221997105;134;9
"ISTITUTO DI ISTRUZIONE ""L. Guetti"" - TIONE DI TRENTO";SECONDARIA DI SECONDO GRADO;LICEO SCIENTIFICO;0221997103;200;12
"ISTITUTO DI ISTRUZIONE ""L. Guetti"" - TIONE DI TRENTO";SECONDARIA DI SECONDO GRADO;LICEO SCIENTIFICO OPZIONE SCIENZE APPLICATE;0221997104;113;7
"ISTITUTO DI ISTRUZIONE ""La Rosa Bianca"" - CAVALESE";SECONDARIA DI PRIMO GRADO;EDUCAZIONE PER ADULTI RELATIVA AL PRIMO CICLO;0220509902;1;1
"ISTITUTO DI ISTRUZIONE ""La Rosa Bianca"" - CAVALESE";SECONDARIA DI SECONDO GRADO;ISTITUTO TECNICO PER IL SETTORE ECONOMICO - PREDAZZO;0221475403;209;12
"ISTITUTO DI ISTRUZIONE ""La Rosa Bianca"" - CAVALESE";SECONDARIA DI SECONDO GRADO;ISTITUTO TECNICO PER IL SETTORE ECONOMICO SERALE - PREDAZZO;0221475404;24;3
"ISTITUTO DI ISTRUZIONE ""La Rosa Bianca"" - CAVALESE";SECONDARIA DI SECONDO GRADO;ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO;0220505404;91;5
"ISTITUTO DI ISTRUZIONE ""La Rosa Bianca"" - CAVALESE";SECONDARIA DI SECONDO GRADO;ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO SERALE - PREDAZZO;0221475405;21;3
"ISTITUTO DI ISTRUZIONE ""La Rosa Bianca"" - CAVALESE";SECONDARIA DI SECONDO GRADO;LICEO DELLE SCIENZE UMANE;2008;36;2
"ISTITUTO DI ISTRUZIONE ""La Rosa Bianca"" - CAVALESE";SECONDARIA DI SECONDO GRADO;LICEO DELLE SCIENZE UMANE OPZIONE ECONOMICO SOCIALE;0220507104;56;4
"ISTITUTO DI ISTRUZIONE ""La Rosa Bianca"" - CAVALESE";SECONDARIA DI SECONDO GRADO;LICEO LINGUISTICO;0220507103;81;5
"ISTITUTO DI ISTRUZIONE ""La Rosa Bianca"" - CAVALESE";SECONDARIA DI SECONDO GRADO;LICEO SCIENTIFICO;0220507102;107;5
"ISTITUTO DI ISTRUZIONE ""M. Curie"" - PERGINE VALSUGANA";SECONDARIA DI PRIMO GRADO;EDUCAZIONE PER ADULTI RELATIVA AL PRIMO CICLO;0221399901;41;3
"ISTITUTO DI ISTRUZIONE ""M. Curie"" - PERGINE VALSUGANA";SECONDARIA DI SECONDO GRADO;ISTITUTO TECNICO PER IL SETTORE ECONOMICO - LEVICO;0221045401;70;4
"ISTITUTO DI ISTRUZIONE ""M. Curie"" - PERGINE VALSUGANA";SECONDARIA DI SECONDO GRADO;ISTITUTO TECNICO PER IL SETTORE ECONOMICO - PERGINE;0221395403;85;6
"ISTITUTO DI ISTRUZIONE ""M. Curie"" - PERGINE VALSUGANA";SECONDARIA DI SECONDO GRADO;ISTITUTO TECNICO PER IL SETTORE ECONOMICO SERALE;0221395404;31;3
"ISTITUTO DI ISTRUZIONE ""M. Curie"" - PERGINE VALSUGANA";SECONDARIA DI SECONDO GRADO;ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO;0221395207;185;14
"ISTITUTO DI ISTRUZIONE ""M. Curie"" - PERGINE VALSUGANA";SECONDARIA DI SECONDO GRADO;ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO SERALE;0221395208;13;3
"ISTITUTO DI ISTRUZIONE ""M. Curie"" - PERGINE VALSUGANA";SECONDARIA DI SECONDO GRADO;LICEO DELLE SCIENZE UMANE;0221397103;89;6
"ISTITUTO DI ISTRUZIONE ""M. Curie"" - PERGINE VALSUGANA";SECONDARIA DI SECONDO GRADO;LICEO DELLE SCIENZE UMANE OPZIONE ECONOMICO SOCIALE;0221397104;109;6
"ISTITUTO DI ISTRUZIONE ""M. Curie"" - PERGINE VALSUGANA";SECONDARIA DI SECONDO GRADO;LICEO LINGUISTICO;0221397105;94;5
"ISTITUTO DI ISTRUZIONE ""M. Curie"" - PERGINE VALSUGANA";SECONDARIA DI SECONDO GRADO;LICEO SCIENTIFICO;0221397101;69;5
"ISTITUTO DI ISTRUZIONE ""M. Martini"" - MEZZOLOMBARDO";SECONDARIA DI PRIMO GRADO;EDUCAZIONE PER ADULTI RELATIVA AL PRIMO CICLO;0221179901;18;1
"ISTITUTO DI ISTRUZIONE ""M. Martini"" - MEZZOLOMBARDO";SECONDARIA DI SECONDO GRADO;ISTITUTO TECNICO PER IL SETTORE ECONOMICO;0221175403;242;13
"ISTITUTO DI ISTRUZIONE ""M. Martini"" - MEZZOLOMBARDO";SECONDARIA DI SECONDO GRADO;ISTITUTO TECNICO PER IL SETTORE ECONOMICO SERALE;0221174403;36;4
"ISTITUTO DI ISTRUZIONE ""M. Martini"" - MEZZOLOMBARDO";SECONDARIA DI SECONDO GRADO;ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO;0221175404;145;10
"ISTITUTO DI ISTRUZIONE ""M. Martini"" - MEZZOLOMBARDO";SECONDARIA DI SECONDO GRADO;LICEO DELLE SCIENZE UMANE OPZIONE ECONOMICO SOCIALE;0221177105;145;9
"ISTITUTO DI ISTRUZIONE ""M. Martini"" - MEZZOLOMBARDO";SECONDARIA DI SECONDO GRADO;LICEO SCIENTIFICO;0221177103;199;11
"ISTITUTO DI ISTRUZIONE ""M. Martini"" - MEZZOLOMBARDO";SECONDARIA DI SECONDO GRADO;LICEO SCIENTIFICO OPZIONE SCIENZE APPLICATE;0221177104;148;11
"ISTITUTO DI ISTRUZIONE ""don L.Milani"" - ROVERETO";SECONDARIA DI PRIMO GRADO;EDUCAZIONE PER ADULTI RELATIVA AL PRIMO CICLO;0221619901;39;3
"ISTITUTO DI ISTRUZIONE ""don L.Milani"" - ROVERETO";SECONDARIA DI SECONDO GRADO;ISTITUTO PROFESSIONALE PER IL SETTORE DEI SERVIZI;0221614402;429;21
"ISTITUTO DI ISTRUZIONE ""don L.Milani"" - ROVERETO";SECONDARIA DI SECONDO GRADO;ISTITUTO PROFESSIONALE PER IL SETTORE DEI SERVIZI SERALE;0221614416;61;5
"ISTITUTO DI ISTRUZIONE ""don L.Milani"" - ROVERETO";SECONDARIA DI SECONDO GRADO;ISTITUTO TECNICO PER IL SETTORE ECONOMICO;0221615401;319;19
"ISTITUTO DI ISTRUZIONE ""don L.Milani"" - ROVERETO";SECONDARIA DI SECONDO GRADO;ISTITUTO TECNICO PER IL SETTORE ECONOMICO SERALE;0221614415;37;6
ISTITUTO SACRO CUORE - TRENTO;PRIMARIA;SCUOLA PRIMARIA SACRO CUORE TRENTO;0222052108;202;10
ISTITUTO SACRO CUORE - TRENTO;SECONDARIA DI PRIMO GRADO;SCUOLA SECONDARIA DI PRIMO GRADO SACRO CUORE TRENTO;0222053013;210;10
ISTITUTO SACRO CUORE - TRENTO;SECONDARIA DI SECONDO GRADO;ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO;0222055240;36;2
ISTITUTO SACRO CUORE - TRENTO;SECONDARIA DI SECONDO GRADO;LICEO ARTISTICO;0222057151;79;4
ISTITUTO SACRO CUORE - TRENTO;SECONDARIA DI SECONDO GRADO;LICEO DELLE SCIENZE UMANE;0222057150;93;5
ISTITUTO SALESIANO MARIA AUSILIATRICE - TRENTO;SECONDARIA DI PRIMO GRADO;SCUOLA SECONDARIA DI PRIMO GRADO MARIA AUSILIATRICE TRENTO;0222053012;225;9
ISTITUTO SALESIANO S. CROCE - MEZZANO;PRIMARIA;SCUOLA PRIMARIA SANTA CROCE MEZZANO;0221152102;71;5
ISTITUTO SALESIANO S. CROCE - MEZZANO;SECONDARIA DI PRIMO GRADO;SCUOLA SECONDARIA DI PRIMO GRADO SANTA CROCE MEZZANO;0221153001;71;3
"ISTITUTO TECNICO ECONOMICO ""A. Tambosi"" - TRENTO";SECONDARIA DI SECONDO GRADO;ISTITUTO TECNICO PER IL SETTORE ECONOMICO;0222055431;848;45
"ISTITUTO TECNICO ECONOMICO ""A. Tambosi"" - TRENTO";SECONDARIA DI SECONDO GRADO;ISTITUTO TECNICO PER IL SETTORE ECONOMICO SERALE;0222055406;91;8
"ISTITUTO TECNICO ECONOMICO E TECNOLOGICO ""C.A. Pilati"" - CLES";SECONDARIA DI PRIMO GRADO;EDUCAZIONE PER ADULTI RELATIVA AL PRIMO CICLO;0220629903;5;1
"ISTITUTO TECNICO ECONOMICO E TECNOLOGICO ""C.A. Pilati"" - CLES";SECONDARIA DI SECONDO GRADO;ISTITUTO TECNICO PER IL SETTORE ECONOMICO;0220625208;245;14
"ISTITUTO TECNICO ECONOMICO E TECNOLOGICO ""C.A. Pilati"" - CLES";SECONDARIA DI SECONDO GRADO;ISTITUTO TECNICO PER IL SETTORE ECONOMICO SERALE;0220625509;35;3
"ISTITUTO TECNICO ECONOMICO E TECNOLOGICO ""C.A. Pilati"" - CLES";SECONDARIA DI SECONDO GRADO;ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO;0220625209;448;27
"ISTITUTO TECNICO ECONOMICO E TECNOLOGICO ""C.A. Pilati"" - CLES";SECONDARIA DI SECONDO GRADO;ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO SERALE;0220625508;12;3
"ISTITUTO TECNICO ECONOMICO E TECNOLOGICO ""F. e G. Fontana"" - ROVERETO";SECONDARIA DI SECONDO GRADO;ISTITUTO TECNICO PER IL SETTORE ECONOMICO;0221615404;306;18
"ISTITUTO TECNICO ECONOMICO E TECNOLOGICO ""F. e G. Fontana"" - ROVERETO";SECONDARIA DI SECONDO GRADO;ISTITUTO TECNICO PER IL SETTORE ECONOMICO SERALE;0221615508;23;3
"ISTITUTO TECNICO ECONOMICO E TECNOLOGICO ""F. e G. Fontana"" - ROVERETO";SECONDARIA DI SECONDO GRADO;ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO;0221615506;89;6
"ISTITUTO TECNICO ECONOMICO E TECNOLOGICO ""F. e G. Fontana"" - ROVERETO";SECONDARIA DI SECONDO GRADO;ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO SERALE;0221615507;8;3
"ISTITUTO TECNICO ECONOMICO E TECNOLOGICO ""G. Floriani"" - RIVA DEL GARDA";SECONDARIA DI PRIMO GRADO;EDUCAZIONE PER ADULTI RELATIVA AL PRIMO CICLO;0221539901;10;1
"ISTITUTO TECNICO ECONOMICO E TECNOLOGICO ""G. Floriani"" - RIVA DEL GARDA";SECONDARIA DI SECONDO GRADO;ISTITUTO TECNICO PER IL SETTORE ECONOMICO;0221535402;334;18
"ISTITUTO TECNICO ECONOMICO E TECNOLOGICO ""G. Floriani"" - RIVA DEL GARDA";SECONDARIA DI SECONDO GRADO;ISTITUTO TECNICO PER IL SETTORE ECONOMICO SERALE;0221535408;50;7
"ISTITUTO TECNICO ECONOMICO E TECNOLOGICO ""G. Floriani"" - RIVA DEL GARDA";SECONDARIA DI SECONDO GRADO;ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO;0221535201;281;20
"ISTITUTO TECNICO ECONOMICO E TECNOLOGICO ""G. Floriani"" - RIVA DEL GARDA";SECONDARIA DI SECONDO GRADO;ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO SERALE;0221535409;7;3
"ISTITUTO TECNICO TECNOLOGICO ""G. Marconi"" - ROVERETO";SECONDARIA DI SECONDO GRADO;ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO;0221615204;952;48
"ISTITUTO TECNICO TECNOLOGICO ""G. Marconi"" - ROVERETO";SECONDARIA DI SECONDO GRADO;ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO SERALE;0221615205;46;9
"ISTITUTO TECNICO TECNOLOGICO ""M. Buonarroti"" - TRENTO";SECONDARIA DI SECONDO GRADO;ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO;0222055205;1635;84
"ISTITUTO TECNICO TECNOLOGICO ""M. Buonarroti"" - TRENTO";SECONDARIA DI SECONDO GRADO;ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO SERALE;0222055207;76;9
Istituto Formazione Professionale Alberghiero - Levico;FORMAZIONE PROFESSIONALE;SETTORE SERVIZI;0221049698;304;18
Istituto Formazione Professionale Alberghiero - Levico;FORMAZIONE PROFESSIONALE;SETTORE SERVIZI SERALE;2013;44;2
Istituto Formazione Professionale Alberghiero - Rovereto;FORMAZIONE PROFESSIONALE;SETTORE INDUSTRIA E ARTIGIANATO;2017;35;2
Istituto Formazione Professionale Alberghiero - Rovereto;FORMAZIONE PROFESSIONALE;SETTORE SERVIZI;0221619696;297;16
Istituto Formazione Professionale Alberghiero - Rovereto;FORMAZIONE PROFESSIONALE;SETTORE SERVIZI SERALE;0221619685;70;3
"Istituto Formazione Professionale Servizi alla Persona e Legno ""S. Pertini"" - Trento";FORMAZIONE PROFESSIONALE;SETTORE INDUSTRIA E ARTIGIANATO;0222059693;140;9
"Istituto Formazione Professionale Servizi alla Persona e Legno ""S. Pertini"" - Trento";FORMAZIONE PROFESSIONALE;SETTORE SERVIZI;0222059695;258;16
"Istituto Formazione Professionale Servizi alla Persona e Legno ""S. Pertini"" - Trento";FORMAZIONE PROFESSIONALE;SETTORE SERVIZI SERALE;0222059670;102;9
"LICEO ""A. Maffei"" - RIVA DEL GARDA";SECONDARIA DI SECONDO GRADO;LICEO CLASSICO;0221537204;79;5
"LICEO ""A. Maffei"" - RIVA DEL GARDA";SECONDARIA DI SECONDO GRADO;LICEO DELLE SCIENZE UMANE;0221537108;211;10
"LICEO ""A. Maffei"" - RIVA DEL GARDA";SECONDARIA DI SECONDO GRADO;LICEO LINGUISTICO;0221537109;130;7
"LICEO ""A. Maffei"" - RIVA DEL GARDA";SECONDARIA DI SECONDO GRADO;LICEO MUSICALE E COREUTICO;0221537110;37;5
"LICEO ""A. Maffei"" - RIVA DEL GARDA";SECONDARIA DI SECONDO GRADO;LICEO SCIENTIFICO;0221537106;298;15
"LICEO ""A. Maffei"" - RIVA DEL GARDA";SECONDARIA DI SECONDO GRADO;LICEO SCIENTIFICO OPZIONE SCIENZE APPLICATE;0221537107;174;9
"LICEO ""A. Rosmini"" - ROVERETO";SECONDARIA DI SECONDO GRADO;LICEO CLASSICO;0221617207;102;6
"LICEO ""A. Rosmini"" - ROVERETO";SECONDARIA DI SECONDO GRADO;LICEO LINGUISTICO;0221617111;244;13
"LICEO ""A. Rosmini"" - ROVERETO";SECONDARIA DI SECONDO GRADO;LICEO SCIENTIFICO;0221617109;423;21
"LICEO ""A. Rosmini"" - ROVERETO";SECONDARIA DI SECONDO GRADO;LICEO SCIENTIFICO OPZIONE SCIENZE APPLICATE;0221617110;320;17
"LICEO ""A. Rosmini"" - TRENTO";SECONDARIA DI PRIMO GRADO;EDUCAZIONE PER ADULTI RELATIVA AL PRIMO CICLO;0222059901;470;8
"LICEO ""A. Rosmini"" - TRENTO";SECONDARIA DI SECONDO GRADO;LICEO DELLE SCIENZE UMANE;0222057132;749;34
"LICEO ""A. Rosmini"" - TRENTO";SECONDARIA DI SECONDO GRADO;LICEO DELLE SCIENZE UMANE OPZIONE ECONOMICO SOCIALE;0222057133;247;13
"LICEO ""A. Rosmini"" - TRENTO";SECONDARIA DI SECONDO GRADO;LICEO DELLE SCIENZE UMANE OPZIONE ECONOMICO SOCIALE SERALE;0222056235;138;6
"LICEO ""B. Russell"" - CLES";SECONDARIA DI SECONDO GRADO;LICEO CLASSICO;0220627104;69;5
"LICEO ""B. Russell"" - CLES";SECONDARIA DI SECONDO GRADO;LICEO DELLE SCIENZE UMANE;0220627107;151;9
"LICEO ""B. Russell"" - CLES";SECONDARIA DI SECONDO GRADO;LICEO DELLE SCIENZE UMANE OPZIONE ECONOMICO SOCIALE;0220627108;85;5
"LICEO ""B. Russell"" - CLES";SECONDARIA DI SECONDO GRADO;LICEO LINGUISTICO;0220627106;166;10
"LICEO ""B. Russell"" - CLES";SECONDARIA DI SECONDO GRADO;LICEO SCIENTIFICO;0220627103;227;14
"LICEO ""B. Russell"" - CLES";SECONDARIA DI SECONDO GRADO;LICEO SCIENTIFICO OPZIONE SCIENZE APPLICATE;0220627105;176;10
"LICEO ""F. Filzi"" - ROVERETO";SECONDARIA DI SECONDO GRADO;LICEO DELLE SCIENZE UMANE;0221617112;416;21
"LICEO ""F. Filzi"" - ROVERETO";SECONDARIA DI SECONDO GRADO;LICEO DELLE SCIENZE UMANE OPZIONE ECONOMICO SOCIALE;0221617113;265;15
"LICEO CLASSICO ""G. Prati"" - TRENTO";SECONDARIA DI SECONDO GRADO;LICEO CLASSICO;0222057213;395;22
"LICEO DELLE ARTI DI TRENTO E ROVERETO ""Vittoria-Bonporti-Depero""";SECONDARIA DI SECONDO GRADO;"LICEO ARTISTICO ""Depero""- ROVERETO";0221617114;368;26
"LICEO DELLE ARTI DI TRENTO E ROVERETO ""Vittoria-Bonporti-Depero""";SECONDARIA DI SECONDO GRADO;"LICEO ARTISTICO ""Vittoria"" - Trento";0222057136;650;40
"LICEO DELLE ARTI DI TRENTO E ROVERETO ""Vittoria-Bonporti-Depero""";SECONDARIA DI SECONDO GRADO;LICEO MUSICALE COREUTICO ;0222057137;227;15
"LICEO LINGUISTICO ""S. M. Scholl"" - TRENTO";SECONDARIA DI SECONDO GRADO;LICEO LINGUISTICO;0222057135;802;41
"LICEO SCIENTIFICO ""G. Galilei"" - TRENTO";SECONDARIA DI SECONDO GRADO;LICEO SCIENTIFICO;0222057111;520;27
"LICEO SCIENTIFICO ""G. Galilei"" - TRENTO";SECONDARIA DI SECONDO GRADO;LICEO SCIENTIFICO OPZIONE SCIENZE APPLICATE;0222057130;370;19
"LICEO SCIENTIFICO ""L. Da Vinci"" - TRENTO";SECONDARIA DI SECONDO GRADO;LICEO SCIENTIFICO;0222057112;613;31
"LICEO SCIENTIFICO ""L. Da Vinci"" - TRENTO";SECONDARIA DI SECONDO GRADO;LICEO SCIENTIFICO OPZIONE SCIENZE APPLICATE;0222057134;851;40
SCUOLA LADINA DI FASSA - SCOLA LADINA DE FASCIA;PRIMARIA;"SCUOLA PRIMARIA ""DON G. B. MASSAR"" VIGO DI FASSA";0222172101;46;5
SCUOLA LADINA DI FASSA - SCOLA LADINA DE FASCIA;PRIMARIA;"SCUOLA PRIMARIA ""DON L. GROSS"" POZZA DI FASSA";0221452101;137;9
SCUOLA LADINA DI FASSA - SCOLA LADINA DE FASCIA;PRIMARIA;"SCUOLA PRIMARIA ""G. RIZZI"" CANAZEI";0220392101;131;10
SCUOLA LADINA DI FASSA - SCOLA LADINA DE FASCIA;PRIMARIA;"SCUOLA PRIMARIA ""PADRE E. CHIOCCHETTI"" MOENA";0221182101;136;9
SCUOLA LADINA DI FASSA - SCOLA LADINA DE FASCIA;SECONDARIA DI PRIMO GRADO;"SCUOLA SECONDARIA DI PRIMO GRADO ""DON G. JORI"" MOENA";0221183001;84;6
SCUOLA LADINA DI FASSA - SCOLA LADINA DE FASCIA;SECONDARIA DI PRIMO GRADO;"SCUOLA SECONDARIA DI PRIMO GRADO ""T. SORARUF"" CAMPITELLO DI FASSA";0220363001;90;6
SCUOLA LADINA DI FASSA - SCOLA LADINA DE FASCIA;SECONDARIA DI PRIMO GRADO;SCUOLA SECONDARIA DI PRIMO GRADO POZZA DI FASSA;0221453001;152;8
SCUOLA LADINA DI FASSA - SCOLA LADINA DE FASCIA;SECONDARIA DI SECONDO GRADO;LICEO ARTISTICO;0221457103;163;10
SCUOLA LADINA DI FASSA - SCOLA LADINA DE FASCIA;SECONDARIA DI SECONDO GRADO;LICEO LADINO DELLE LINGUE;0221457102;155;10
SCUOLA LADINA DI FASSA - SCOLA LADINA DE FASCIA;SECONDARIA DI SECONDO GRADO;LICEO SCIENTIFICO;0221457101;111;7
SCUOLA PARITARIA LA VELA - FONDAZIONE FAMIGLIA MATERNA - ROVERETO;PRIMARIA;"SCUOLA PRIMARIA ""LA VELA"" ROVERETO";0221612113;111;5
SCUOLA PARITARIA LA VELA - FONDAZIONE FAMIGLIA MATERNA - ROVERETO;SECONDARIA DI PRIMO GRADO;"SCUOLA SECONDARIA DI PRIMO GRADO ""LA VELA"" ROVERETO";0221613050;76;3
"SOCIETA' COOPERATIVA A R.L. ""I. DE CARNERI"" OXFORD CIVEZZANO";SECONDARIA DI SECONDO GRADO;ISTITUTO PROFESSIONALE PER IL SETTORE DEI SERVIZI;0220614705;94;5
"SOCIETA' COOPERATIVA A R.L. ""I. DE CARNERI"" OXFORD CIVEZZANO";SECONDARIA DI SECONDO GRADO;ISTITUTO TECNICO PER IL SETTORE ECONOMICO;0220615401;132;6
"SOCIETA' COOPERATIVA A R.L. ""I. DE CARNERI"" OXFORD CIVEZZANO";SECONDARIA DI SECONDO GRADO;ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO;0220615402;115;5
"SOCIETA' COOPERATIVA A R.L. ""I. DE CARNERI"" OXFORD CIVEZZANO";FORMAZIONE PROFESSIONALE;SETTORE SERVIZI;0220614704;87;4
