Nome,lat,lon,Tipo Istituto,Gestione,Comune,geometry,Id,Studenti,Classi
Liceo Delle Scienze Umane,46.2899142,11.467830193294564,Scuola Secondaria di Secondo Grado,Statale,Cavalese,POINT (11.467830193294564 46.2899142),2008,39,2
Scuola Primaria Ronchi Valsugana,46.06800920627712,11.435267787092267,Scuola Primaria,Statale,Ronchi Valsugana,POINT (11.435267787092267 46.06800920627712),2009,41,6
Scuola Primaria Brentonico,45.922970020176365,11.14273997542577,Scuola Primaria,Statale,Brentonico,POINT (11.14273997542577 45.922970020176365),2011,181,10
Settore Industria E Artigianato,45.89097000932833,11.04726003997365,Formazione professionale,Statale,Rovereto,POINT (11.04726003997365 45.89097000932833),2017,38,2
"Scuola Secondaria Di Primo Grado ""P. Rella"" Folgaria",45.917330005167685,11.168039995789542,Scuola Secondaria di Primo Grado,Statale,Folgaria,POINT (11.168039995789542 45.917330005167685),0220873001,58,3
Settore Servizi Serale,46.013440008281464,11.30494002779244,Formazione professionale,Statale,Levico Terme,POINT (11.30494002779244 46.013440008281464),2013,96,4
Settore Servizi Rovereto,45.89795748959229,11.036848147909966,Formazione professionale,Paritaria,Rovereto,POINT (11.036848147909966 45.89795748959229),2027,19,1
"Scuola Secondaria Di Primo Grado ""G. B. Lampi"" Fondo",46.43928,11.1366,Scuola Secondaria di Primo Grado,Statale,Borgo D'Anaunia,POINT (11.1366 46.43928),0220883001,219,12
Scuola Secondaria Di Primo Grado Brentonico,45.922970020176365,11.14273997542577,Scuola Secondaria di Primo Grado,Statale,Brentonico,POINT (11.14273997542577 45.922970020176365),2012,128,7
"Scuola Primaria ""C. Darwin"" Mezzolombardo",46.21359318,11.09245785,Scuola Primaria,Statale,Mezzolombardo,POINT (11.09245785 46.21359318),0221172101,386,20
Liceo Scientifico,46.06370881,11.1360572,Scuola Secondaria di Secondo Grado,Statale,Trento,POINT (11.1360572 46.06370881),0222057111,527,27
Liceo Scientifico Opzione Scienze Applicate,46.06370881,11.1360572,Scuola Secondaria di Secondo Grado,Statale,Trento,POINT (11.1360572 46.06370881),0222057130,375,19
Liceo Scientifico,46.06271509,11.12032636,Scuola Secondaria di Secondo Grado,Statale,Trento,POINT (11.12032636 46.06271509),0222057112,625,31
Liceo Scientifico Opzione Scienze Applicate,46.06271509,11.12032636,Scuola Secondaria di Secondo Grado,Statale,Trento,POINT (11.12032636 46.06271509),0222057134,872,40
Liceo Classico,46.06627324,11.12470189,Scuola Secondaria di Secondo Grado,Statale,Trento,POINT (11.12470189 46.06627324),0222057213,402,22
Scuola Primaria Nave San Rocco,46.16670624,11.10974565,Scuola Primaria,Statale,Terre D'Adige,POINT (11.10974565 46.16670624),0221262101,83,5
"Scuola Secondaria Di Primo Grado ""A. Eccher Dall'Eco"" Mezzolombardo",46.21227843,11.09672276,Scuola Secondaria di Primo Grado,Statale,Mezzolombardo,POINT (11.09672276 46.21227843),0221173001,276,15
Liceo Scientifico Opzione Scienze Applicate,46.21765617,11.09397786,Scuola Secondaria di Secondo Grado,Statale,Mezzolombardo,POINT (11.09397786 46.21765617),0221177104,150,11
Liceo Delle Scienze Umane Opzione Economico Sociale,46.21765617,11.09397786,Scuola Secondaria di Secondo Grado,Statale,Mezzolombardo,POINT (11.09397786 46.21765617),0221177105,158,9
Istituto Tecnico Per Il Settore Economico,46.21765617,11.09397786,Scuola Secondaria di Secondo Grado,Statale,Mezzolombardo,POINT (11.09397786 46.21765617),0221175403,259,13
Istituto Tecnico Per Il Settore Tecnologico,46.21765617,11.09397786,Scuola Secondaria di Secondo Grado,Statale,Mezzolombardo,POINT (11.09397786 46.21765617),0221175404,153,10
Istituto Tecnico Per Il Settore Economico Serale,46.21765617,11.09397786,Scuola Secondaria di Secondo Grado,Statale,Mezzolombardo,POINT (11.09397786 46.21765617),0221174403,86,8
Educazione Per Adulti Relativa Al Primo Ciclo,46.21765617,11.09397786,Educazione per adulti,Statale,Mezzolombardo,POINT (11.09397786 46.21765617),0221179901,229,8
Liceo Scientifico,46.21765617,11.09397786,Scuola Secondaria di Secondo Grado,Statale,Mezzolombardo,POINT (11.09397786 46.21765617),0221177103,199,11
"Scuola Secondaria Di Primo Grado ""G. Garibaldi"" Bezzecca",45.89516601,10.72084423,Scuola Secondaria di Primo Grado,Statale,Ledro,POINT (10.72084423 45.89516601),0220143001,155,8
Scuola Primaria Tiarno Di Sopra,45.88916535,10.67018708,Scuola Primaria,Statale,Ledro,POINT (10.67018708 45.88916535),0221972101,47,5
Scuola Primaria Molina Di Ledro,45.87024547,10.77418416,Scuola Primaria,Statale,Ledro,POINT (10.77418416 45.87024547),0221192101,59,5
"Scuola Primaria ""O. Ferrari"" Enguiso",45.90442179,10.72921443,Scuola Primaria,Statale,Ledro,POINT (10.72921443 45.90442179),0220652101,93,5
"Scuola Secondaria Di Primo Grado ""B. Malfatti"" Mori",45.85230766,10.98554092,Scuola Secondaria di Primo Grado,Statale,Mori,POINT (10.98554092 45.85230766),0221233001,311,15
Scuola Primaria Ronzo Chienis,45.89075034,10.95070541,Scuola Primaria,Statale,Ronzo-Chienis,POINT (10.95070541 45.89075034),0221352101,65,5
Scuola Primaria Mori,45.85173804,10.97434785,Scuola Primaria,Statale,Mori,POINT (10.97434785 45.85173804),0221232101,407,20
"Scuola Secondaria Di Primo Grado ""C. Andreatta"" Pergine Valsugana",46.0685614,11.24481204,Scuola Secondaria di Primo Grado,Statale,Pergine Valsugana,POINT (11.24481204 46.0685614),0221393001,376,17
Scuola Primaria S.Felice Fierozzo,46.11218853,11.3191694,Scuola Primaria,Statale,Fierozzo,POINT (11.3191694 46.11218853),0220852101,31,5
"Liceo Artistico ""Depero""- Rovereto",45.88731763,11.04592974,Scuola Secondaria di Secondo Grado,Statale,Rovereto,POINT (11.04592974 45.88731763),0221617114,382,21
Liceo Musicale Coreutico ,46.06905328,11.12627657,Scuola Secondaria di Secondo Grado,Statale,Trento,POINT (11.12627657 46.06905328),0222057137,231,15
"Liceo Artistico ""Vittoria"" - Trento",46.09325628,11.11621086,Scuola Secondaria di Secondo Grado,Statale,Trento,POINT (11.11621086 46.09325628),0222057136,667,34
Scuola Secondaria Di Primo Grado Arcivescovile Trento,46.062139997287716,11.121539963000231,Scuola Secondaria di Primo Grado,Paritaria,Trento,POINT (11.121539963000231 46.062139997287716),0222053011,276,11
Scuola Primaria Arcivescovile Trento,46.062139997287716,11.121539963000231,Scuola Primaria,Paritaria,Trento,POINT (11.121539963000231 46.062139997287716),0222052149,131,6
Liceo Scientifico Arcivescovile - Trento,46.062139997287716,11.121539963000231,Scuola Secondaria di Secondo Grado,Paritaria,Trento,POINT (11.121539963000231 46.062139997287716),0222057116,99,6
Liceo Classico Arcivescovile - Trento,46.062139997287716,11.121539963000231,Scuola Secondaria di Secondo Grado,Paritaria,Trento,POINT (11.121539963000231 46.062139997287716),0222057214,48,4
Istituto Tecnico Per Il Settore Tecnologico,46.062139997287716,11.121539963000231,Scuola Secondaria di Secondo Grado,Paritaria,Trento,POINT (11.121539963000231 46.062139997287716),0222055433,66,4
Istituto Tecnico Per Il Settore Economico,46.062139997287716,11.121539963000231,Scuola Secondaria di Secondo Grado,Paritaria,Trento,POINT (11.121539963000231 46.062139997287716),0222055432,56,5
Liceo Linguistico Arcivescovile - Trento,46.062139997287716,11.121539963000231,Scuola Secondaria di Secondo Grado,Paritaria,Trento,POINT (11.121539963000231 46.062139997287716),0222057138,7,1
Scuola Secondaria Di Primo Grado Sacro Cuore Trento,46.0675394,11.11956138,Scuola Secondaria di Primo Grado,Paritaria,Trento,POINT (11.11956138 46.0675394),0222053013,211,10
Scuola Primaria Sacro Cuore Trento,46.0675394,11.11956138,Scuola Primaria,Paritaria,Trento,POINT (11.11956138 46.0675394),0222052108,205,10
Liceo Artistico,46.0675394,11.11956138,Scuola Secondaria di Secondo Grado,Paritaria,Trento,POINT (11.11956138 46.0675394),0222057151,81,4
Liceo Delle Scienze Umane,46.0675394,11.11956138,Scuola Secondaria di Secondo Grado,Paritaria,Trento,POINT (11.11956138 46.0675394),0222057150,93,5
Istituto Tecnico Per Il Settore Tecnologico,46.0675394,11.11956138,Scuola Secondaria di Secondo Grado,Paritaria,Trento,POINT (11.11956138 46.0675394),0222055240,36,2
Scuola Secondaria Di Primo Grado Vigolo Vattaro,46.00445076,11.19680597,Scuola Secondaria di Primo Grado,Statale,Altopiano Della Vigolana,POINT (11.19680597 46.00445076),0222193001,153,7
Scuola Primaria Vigolo Vattaro,46.00445076,11.19680597,Scuola Primaria,Statale,Altopiano Della Vigolana,POINT (11.19680597 46.00445076),0222192101,133,8
"Scuola Primaria ""A. Fogazzaro"" Vattaro",46.00128166,11.22644087,Scuola Primaria,Statale,Altopiano Della Vigolana,POINT (11.22644087 46.00128166),0222122101,78,5
"Scuola Primaria ""Don T. Segnana"" Centa San Nicolo'",45.96853827,11.23183372,Scuola Primaria,Statale,Altopiano Della Vigolana,POINT (11.23183372 45.96853827),0220562101,57,6
Liceo Linguistico,46.05935578,11.12192491,Scuola Secondaria di Secondo Grado,Statale,Trento,POINT (11.12192491 46.05935578),0222057135,826,41
Istituto Tecnico Per Il Settore Economico Serale,46.06553655,11.12940325,Scuola Secondaria di Secondo Grado,Statale,Trento,POINT (11.12940325 46.06553655),0222055406,231,18
Istituto Tecnico Per Il Settore Economico,46.06553655,11.12940325,Scuola Secondaria di Secondo Grado,Statale,Trento,POINT (11.12940325 46.06553655),0222055431,865,45
"Scuola Secondaria Di Primo Grado ""A. Frank"" Villa Lagarina",45.91820607,11.03103851,Scuola Secondaria di Primo Grado,Statale,Villa Lagarina,POINT (11.03103851 45.91820607),0222223001,267,12
"Scuola Primaria ""R. Galvagni"" Pomarolo",45.92820278,11.04249271,Scuola Primaria,Statale,Pomarolo,POINT (11.04249271 45.92820278),0221442101,136,9
"Scuola Primaria ""L. Vicentini"" Nomi",45.92775893,11.07047479,Scuola Primaria,Statale,Nomi,POINT (11.07047479 45.92775893),0221282101,46,5
"Scuola Primaria ""P. Lodron"" Villa Lagarina",45.9187164,11.03164213,Scuola Primaria,Statale,Villa Lagarina,POINT (11.03164213 45.9187164),0222222101,208,10
Scuola Primaria Nogaredo,45.9092342,11.02207632,Scuola Primaria,Statale,Nogaredo,POINT (11.02207632 45.9092342),0221272101,78,5
Settore Servizi,45.9935369,11.2198422882079,Formazione professionale,Paritaria,Rovereto,POINT (11.2198422882079 45.9935369),0221619694,70,4
"Scuola Secondaria Di Primo Grado ""C. Battisti"" Ala",45.75613945,11.00344797,Scuola Secondaria di Primo Grado,Statale,Ala,POINT (11.00344797 45.75613945),0220013001,269,13
"Scuola Primaria ""M.T. Di Calcutta"" Serravalle",45.81193303,11.01420575,Scuola Primaria,Statale,Ala,POINT (11.01420575 45.81193303),0220012105,104,6
"Scuola Primaria ""A. Betta"" Ala",45.75619984,11.00158813,Scuola Primaria,Statale,Ala,POINT (11.00158813 45.75619984),0220012101,318,15
"Scuola Secondaria Di Primo Grado ""N. D'Arco"" Arco",45.92407847,10.89139618,Scuola Secondaria di Primo Grado,Statale,Arco,POINT (10.89139618 45.92407847),0220063001,488,22
Scuola Primaria Massone,45.92437205,10.8979033,Scuola Primaria,Statale,Arco,POINT (10.8979033 45.92437205),0220062105,103,5
Scuola Primaria Bolognano,45.9128545,10.90201007,Scuola Primaria,Statale,Arco,POINT (10.90201007 45.9128545),0220062104,191,10
"Scuola Primaria ""G. Segantini"" Arco",45.9178004,10.87806166,Scuola Primaria,Statale,Arco,POINT (10.87806166 45.9178004),0220062101,340,16
Scuola Primaria Romarzollo,45.92032215,10.86420255,Scuola Primaria,Statale,Arco,POINT (10.86420255 45.92032215),0220062102,228,13
Scuola Secondaria Di Primo Grado Gardascuola Arco,45.91625846,10.88431498,Scuola Secondaria di Primo Grado,Paritaria,Arco,POINT (10.88431498 45.91625846),0220063002,142,9
Liceo Scientifico Opzione Scienze Applicate,45.91625846,10.88431498,Scuola Secondaria di Secondo Grado,Paritaria,Arco,POINT (10.88431498 45.91625846),0220067103,71,5
Istituto Tecnico Per Il Settore Economico,45.91625846,10.88431498,Scuola Secondaria di Secondo Grado,Paritaria,Arco,POINT (10.88431498 45.91625846),0220065401,106,7
Scuola Primaria Gardascuola Arco,45.91625846,10.88431498,Scuola Primaria,Paritaria,Arco,POINT (10.88431498 45.91625846),0220062106,118,8
"Scuola Secondaria Di Primo Grado ""D. Alighieri"" Avio",45.7373768,10.94508891,Scuola Secondaria di Primo Grado,Statale,Avio,POINT (10.94508891 45.7373768),0220073001,147,7
Scuola Primaria Sabbionara Di Avio,45.73998457,10.95305006,Scuola Primaria,Statale,Avio,POINT (10.95305006 45.73998457),0220072103,89,5
Scuola Primaria Avio,45.73751027,10.94380572,Scuola Primaria,Statale,Avio,POINT (10.94380572 45.73751027),0220072101,111,6
"Scuola Secondaria Di Primo Grado ""Don Giuseppe Tarter""Baselga Di Pine'",46.12857866,11.24365194,Scuola Secondaria di Primo Grado,Statale,Baselga Di Pinè,POINT (11.24365194 46.12857866),0220093001,212,9
"Scuola Primaria ""G. Verdi"" Miola Baselga Di Pine'",46.126759,11.24686481,Scuola Primaria,Statale,Baselga Di Pinè,POINT (11.24686481 46.126759),0220092102,82,5
"Scuola Primaria  ""Abramo Andreatta"" Bedollo",46.16481532,11.29990671,Scuola Primaria,Statale,Bedollo,POINT (11.29990671 46.16481532),0220112101,62,5
"Scuola Primaria ""G. Dallafior"" Baselga Di Pine'",46.13109841,11.24102467,Scuola Primaria,Statale,Baselga Di Pinè,POINT (11.24102467 46.13109841),0220092101,169,10
"Scuola Secondaria Di Primo Grado ""G. Prati"" Ponte Arche",46.0360078,10.87101449,Scuola Secondaria di Primo Grado,Statale,Comano Terme,POINT (10.87101449 46.0360078),0220163001,234,12
"Scuola Primaria ""G. Graffer"" Stenico",46.04951639,10.85641004,Scuola Primaria,Statale,Stenico,POINT (10.85641004 46.04951639),0221822101,49,5
"Scuola Primaria ""San G. Bosco"" S.Lorenzo In Banale",46.07726132,10.9064664,Scuola Primaria,Statale,San Lorenzo Dorsino,POINT (10.9064664 46.07726132),0221662101,63,5
Scuola Primaria Rango Bleggio Superiore,46.01635351,10.8156603,Scuola Primaria,Statale,Bleggio Superiore,POINT (10.8156603 46.01635351),0220172101,81,5
Scuola Primaria Fiave',46.00279931,10.84370362,Scuola Primaria,Statale,Fiavè,POINT (10.84370362 46.00279931),0220832101,60,5
Scuola Primaria Campo Lomaso,46.02448791,10.86369244,Scuola Primaria,Statale,Comano Terme,POINT (10.86369244 46.02448791),0221072101,142,9
"Scuola Secondaria Di Primo Grado ""S. Fante"" Grigno",46.01489898,11.63095941,Scuola Secondaria di Primo Grado,Statale,Grigno,POINT (11.63095941 46.01489898),0220953001,51,3
"Scuola Secondaria Di Primo Grado ""Ora E Veglia"" Borgo Valsugana",46.052335,11.45689943,Scuola Secondaria di Primo Grado,Statale,Borgo Valsugana,POINT (11.45689943 46.052335),0220223001,199,10
"Scuola Secondaria Di Primo Grado ""B. De Averaria"" Spiazzo Rendena",46.10286649,10.7405033,Scuola Secondaria di Primo Grado,Statale,Spiazzo,POINT (10.7405033 46.10286649),0221793001,154,9
"Scuola Secondaria Di Primo Grado ""L. Da Vinci"" Pinzolo",46.15971376,10.7666031,Scuola Secondaria di Primo Grado,Statale,Pinzolo,POINT (10.7666031 46.15971376),0221433001,125,6
"Scuola Secondaria Di Primo Grado ""G. B. Righi"" Madonna Di Campiglio",46.22457231,10.82485099,Scuola Secondaria di Primo Grado,Statale,Tre Ville,POINT (10.82485099 46.22457231),0221433002,30,3
"Scuola Primaria ""N. Bolognini"" Pinzolo",46.15971376,10.7666031,Scuola Primaria,Statale,Pinzolo,POINT (10.7666031 46.15971376),0221432101,60,5
"Scuola Primaria ""S. Massari"" Spiazzo Rendena",46.10286649,10.7405033,Scuola Primaria,Statale,Spiazzo,POINT (10.7405033 46.10286649),0221792101,53,5
"Scuola Primaria ""G. B. Righi"" Madonna Di Campiglio",46.22574696,10.82616262,Scuola Primaria,Statale,Tre Ville,POINT (10.82616262 46.22574696),0221432102,67,5
"Scuola Primaria ""V. Gabriotti"" Giustino",46.14789877,10.76848344,Scuola Primaria,Statale,Giustino,POINT (10.76848344 46.14789877),0220932101,41,5
Scuola Primaria Dare',46.07605726,10.7188607,Scuola Primaria,Statale,Porte Di Rendena,POINT (10.7188607 46.07605726),0220732101,109,6
Scuola Primaria Carisolo,46.16756969,10.7583701,Scuola Primaria,Statale,Carisolo,POINT (10.7583701 46.16756969),0220422101,75,5
"Scuola Primaria ""T. Giustina"" Caderzone",46.12900653,10.75614658,Scuola Primaria,Statale,Caderzone Terme,POINT (10.75614658 46.12900653),0220292101,59,5
"Scuola Secondaria Di Primo Grado ""G. Segantini"" Cavalese",46.28989535,11.46060585,Scuola Secondaria di Primo Grado,Statale,Cavalese,POINT (11.46060585 46.28989535),0220503001,310,14
"Scuola Primaria ""Don L. Gross"" Pozza Di Fassa",46.10047555,11.102575044810393,Scuola Primaria,Statale,San Giovanni Di Fassa,POINT (11.102575044810393 46.10047555),0221452101,138,9
Liceo Classico,45.89599371,11.04248084,Scuola Secondaria di Secondo Grado,Statale,Rovereto,POINT (11.04248084 45.89599371),0221617207,105,6
Liceo Linguistico,45.89599371,11.04248084,Scuola Secondaria di Secondo Grado,Statale,Rovereto,POINT (11.04248084 45.89599371),0221617111,247,13
Liceo Scientifico Opzione Scienze Applicate,45.89599371,11.04248084,Scuola Secondaria di Secondo Grado,Statale,Rovereto,POINT (11.04248084 45.89599371),0221617110,335,17
Liceo Delle Scienze Umane Opzione Economico Sociale,46.06102126,11.12576417,Scuola Secondaria di Secondo Grado,Statale,Trento,POINT (11.12576417 46.06102126),0222057133,254,13
Liceo Delle Scienze Umane,46.06102126,11.12576417,Scuola Secondaria di Secondo Grado,Statale,Trento,POINT (11.12576417 46.06102126),0222057132,763,34
"Scuola Primaria ""B. Pezzen"" Croviana",46.34509746,10.90338166,Scuola Primaria,Statale,Croviana,POINT (10.90338166 46.34509746),0220682101,71,5
Scuola Primaria Caldes,46.36555934,10.94456915,Scuola Primaria,Statale,Caldes,POINT (10.94456915 46.36555934),0220332101,63,5
"Scuola Secondaria Di Primo Grado ""C. Zanella"" Fucine Di Ossana",46.31072367,10.73256864,Scuola Secondaria di Primo Grado,Statale,Ossana,POINT (10.73256864 46.31072367),0221313001,181,9
"Scuola Primaria ""E. Bezzi"" Ossana",46.30792256,10.73930303,Scuola Primaria,Statale,Ossana,POINT (10.73930303 46.30792256),0221312101,68,5
Scuola Primaria Vermiglio,46.29775928,10.69060358,Scuola Primaria,Statale,Vermiglio,POINT (10.69060358 46.29775928),0222132101,62,5
Scuola Primaria Passo Tonale,46.25923567,10.58521419,Scuola Primaria,Statale,Vermiglio,POINT (10.58521419 46.25923567),0222132102,19,5
Scuola Primaria Cogolo Di Peio,46.36437261,10.67353757,Scuola Primaria,Statale,Peio,POINT (10.67353757 46.36437261),0221362104,81,5
Scuola Primaria Commezzadura,46.32142457,10.83729498,Scuola Primaria,Statale,Commezzadura,POINT (10.83729498 46.32142457),0220642101,67,5
Scuola Secondaria Di Primo Grado Santa Croce Mezzano,46.1630999791264,11.818139986981691,Scuola Secondaria di Primo Grado,Paritaria,Mezzano,POINT (11.818139986981691 46.1630999791264),0221153001,71,3
Scuola Primaria Santa Croce Mezzano,46.1630999791264,11.818139986981691,Scuola Primaria,Paritaria,Mezzano,POINT (11.818139986981691 46.1630999791264),0221152102,71,5
"Scuola Secondaria Di Primo Grado ""E. Chini"" Mezzocorona",46.216552,11.09252181,Scuola Secondaria di Primo Grado,Statale,Mezzocorona,POINT (11.09252181 46.216552),0221163001,340,15
"Scuola Primaria ""F. Biasi"" S.Michele All'Adige",46.19341855,11.13302859,Scuola Primaria,Statale,San Michele All'Adige,POINT (11.13302859 46.19341855),0221672101,143,7
"Scuola Primaria ""A. Degasperi"" Mezzocorona",46.21548588,11.11898989,Scuola Primaria,Statale,Mezzocorona,POINT (11.11898989 46.21548588),0221162101,292,15
"Scuola Primaria ""F.Lli Bronzetti"" Rovere' Della Luna",46.24871527,11.16970421,Scuola Primaria,Statale,Roverè Della Luna,POINT (11.16970421 46.24871527),0221602101,67,5
Scuola Primaria Grumo,46.19548313,11.12820522,Scuola Primaria,Statale,San Michele All'Adige,POINT (11.12820522 46.19548313),0221672102,82,5
Scuola Primaria Andalo,46.16594078,11.00633075,Scuola Primaria,Statale,Andalo,POINT (11.00633075 46.16594078),0220052101,71,5
"Scuola Primaria ""Don L. Rossi"" Fai Della Paganella",46.17774271,11.07000349,Scuola Primaria,Statale,Fai Della Paganella,POINT (11.07000349 46.17774271),0220812101,23,4
"Scuola Primaria ""L. Nicolussi"" Molveno",46.1426156,10.96421149,Scuola Primaria,Statale,Molveno,POINT (10.96421149 46.1426156),0221202101,36,6
"Scuola Primaria ""San G. Bosco"" Spormaggiore",46.21943776,11.04874002,Scuola Primaria,Statale,Spormaggiore,POINT (11.04874002 46.21943776),0221802101,95,6
"Scuola Secondaria Di Primo Grado ""C. Battisti"" Andalo",46.16594078,11.00633075,Scuola Secondaria di Primo Grado,Statale,Andalo,POINT (11.00633075 46.16594078),0220053001,95,6
Scuola Secondaria Di Primo Grado Spormaggiore,46.21943776,11.04874002,Scuola Secondaria di Primo Grado,Statale,Spormaggiore,POINT (11.04874002 46.21943776),0221803001,41,3
"Scuola Secondaria Di Primo Grado ""Legione Trentina"" Tione Di Trento",46.03695233,10.72686682,Scuola Secondaria di Primo Grado,Statale,Tione Di Trento,POINT (10.72686682 46.03695233),0221993001,198,9
Scuola Secondaria Di Primo Grado Roncone,45.98275799,10.66795039,Scuola Secondaria di Primo Grado,Statale,Sella Giudicarie,POINT (10.66795039 45.98275799),0221583001,63,3
"Scuola Primaria ""A. Prandini"" Roncone",45.98275799,10.66795039,Scuola Primaria,Statale,Sella Giudicarie,POINT (10.66795039 45.98275799),0221582101,72,5
Scuola Primaria Zuclo,46.0327615,10.74244038,Scuola Primaria,Statale,Borgo Lares,POINT (10.74244038 46.0327615),0222272101,69,5
Scuola Primaria Tione Di Trento,46.0367565,10.72760426,Scuola Primaria,Statale,Tione Di Trento,POINT (10.72760426 46.0367565),0221992101,178,10
Scuola Primaria Ragoli,46.05340659,10.77785634,Scuola Primaria,Statale,Tre Ville,POINT (10.77785634 46.05340659),0221512101,60,5
Scuola Primaria Bondo-Breguzzo,46.00888687,10.69891124,Scuola Primaria,Statale,Sella Giudicarie,POINT (10.69891124 46.00888687),0220242101,79,5
Liceo Scientifico,46.03686577,10.73131449,Scuola Secondaria di Secondo Grado,Statale,Tione Di Trento,POINT (10.73131449 46.03686577),0221997103,201,12
Istituto Tecnico Per Il Settore Economico,46.03686577,10.73131449,Scuola Secondaria di Secondo Grado,Statale,Tione Di Trento,POINT (10.73131449 46.03686577),0221995403,208,11
Istituto Tecnico Per Il Settore Tecnologico,46.03686577,10.73131449,Scuola Secondaria di Secondo Grado,Statale,Tione Di Trento,POINT (10.73131449 46.03686577),0221995206,126,8
Liceo Scientifico Opzione Scienze Applicate,46.03686577,10.73131449,Scuola Secondaria di Secondo Grado,Statale,Tione Di Trento,POINT (10.73131449 46.03686577),0221997104,117,7
Liceo Linguistico,46.03686577,10.73131449,Scuola Secondaria di Secondo Grado,Statale,Tione Di Trento,POINT (10.73131449 46.03686577),0221997105,138,9
Liceo Delle Scienze Umane,46.03686577,10.73131449,Scuola Secondaria di Secondo Grado,Statale,Tione Di Trento,POINT (10.73131449 46.03686577),0221997106,157,9
Istituto Tecnico Per Il Settore Tecnologico Serale,46.03686577,10.73131449,Scuola Secondaria di Secondo Grado,Statale,Tione Di Trento,POINT (10.73131449 46.03686577),0221996203,27,6
Istituto Tecnico Per Il Settore Economico Serale,46.03686577,10.73131449,Scuola Secondaria di Secondo Grado,Statale,Tione Di Trento,POINT (10.73131449 46.03686577),0221996204,34,7
Educazione Per Adulti Relativa Al Primo Ciclo,46.03686577,10.73131449,Educazione per adulti,Statale,Tione Di Trento,POINT (10.73131449 46.03686577),0221999902,111,12
Scuola Secondaria Di Primo Grado Canal San Bovo,46.15127615,11.7338196,Scuola Secondaria di Primo Grado,Statale,Canal San Bovo,POINT (11.7338196 46.15127615),0220383001,45,3
"Scuola Primaria ""F. Loss"" Canal San Bovo",46.15584483618101,11.733380346091524,Scuola Primaria,Statale,Canal San Bovo,POINT (11.733380346091524 46.15584483618101),0220382101,78,5
"Scuola Primaria ""Card. J. Bernardin"" Tonadico",46.1789374,11.83448395,Scuola Primaria,Statale,Primiero San Martino Di Castrozza,POINT (11.83448395 46.1789374),0222012101,181,11
Istituto Tecnico Per Il Settore Economico,46.17355993,11.83043306,Scuola Secondaria di Secondo Grado,Statale,Primiero San Martino Di Castrozza,POINT (11.83043306 46.17355993),0220845402,103,8
